category,LIGHT,LIGHT,LIGHT,LIGHT,LIGHT,COLD,COLD,COLD,COLD,WET,WET,WET,WET,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,COOKING,COOKING,COOKING,COOKING
year,Standard Light Bulb,Halogen,Fluorescent Strip Lighting,Energy Saving Light Bulb,LED,Chest Freezer,Fridge-freezer,Refrigerator,Upright Freezer,Washing Machine,Washer-dryer,Dishwasher,Tumble Dryer,TV,Set Top Box,DVD/VCR,Games Consoles,Power Supply Units,Desktops,Laptops,Monitors,Printers,Multi-Function Devices,Electric Oven,Electric Hob,Microwave,Kettle
1970,840.635,0,96.954,0,0,22.306,0,568.502,4.11,491.683,0,20.315,4.514,294.618,0,0,0,97.755,0,0,0,0,0,571.486,278.862,0,221.014
1971,863.426,0,102.905,0,0,43.043,0,611.78,12.519,496.756,0,29.135,8.292,305.727,0,0,0,102.258,0,0,0,0,0,571.107,288.237,0,236.973
1972,881.623,0,108.399,0,0,68.029,16.726,651.964,24.523,501.989,0,38.733,13.318,313.61,0,0,0,106.702,0,0,0,0,0,564.428,294.469,0,250.227
1973,905.986,0,114.705,0,0,96.718,35.223,698.214,39.85,513.714,0,48.912,20.154,323.044,0,0,0,112.177,0,0,0,0,0,557.321,300.279,0,264.701
1974,928.297,0,120.789,0,0,126.886,60.241,736.527,57.645,525.267,0,58.504,28.504,331.732,0,0,0,117.332,0,0,0,0,0,549.104,305.137,0,275.86
1975,948.531,0,126.594,0,0,155.226,90.6,749.666,76.366,529.206,0,66.356,37.747,348.632,0,0,0,120.866,0,0,0,0,0,543.983,311.284,0,281.962
1976,966.255,0,132.007,0,0,181.305,126.192,739.309,95.695,528.704,1.299,72.638,47.835,367.433,0,0,0,123.991,0,0,0,0,0,536.071,315.269,0,283.488
1977,985.252,0,137.495,0,0,204.106,163.547,714.713,115.077,525.329,2.657,74.884,58.573,387.14,0,0.734,0,136.942,0,0,0,0,0,528.623,319.007,0,283.808
1978,1003.812,0,142.788,0,0,222.197,201.786,685.602,133.668,519.49,4.5,73.611,69.633,406.902,0,5.41,0,149.185,0,0,0,0,0,521.006,321.917,0,283.754
1979,1024.765,0,148.25,0,0,234.907,239.82,658.504,150.975,512.301,6.903,71.383,81.548,425.062,0,16.367,0,160.724,3.091,0,2.376,0,0,509.863,321.385,2.617,282.997
1980,1041.617,0,152.9,0,0,240.798,277.687,626.025,165.908,504.932,9.906,71.106,93.981,438.968,0,34.555,0,170.909,8.883,0,6.821,0,0,499.602,319.797,4.337,280.822
1981,1059.211,0,157.635,0.803,0,241.031,312.987,594.595,180.517,501.452,13.692,70.744,106.037,451.859,0,59.809,0,181.124,14.422,0,11.065,0,0,492.51,319.647,6.679,282.052
1982,1078.23,0,162.339,1.757,0,240.812,346.957,563.903,194.268,499.019,19.324,68.165,119.809,463.972,0,89.975,0,192.242,19.786,0,15.166,0,0,482.75,318.124,9.63,283.264
1983,1094.413,0,166.292,2.872,0,240.578,384.018,532.585,208.054,498.325,26.906,66.337,137.116,475.229,0,120.52,0,203.33,25.035,0,19.168,0,0,478.168,322.152,14.831,285.355
1984,1107.829,0,169.447,4.149,0,240.925,428.971,499.463,222.153,499.76,38.601,67.357,159.059,485.719,0,147.603,0,212.217,30.26,0,23.138,0.51,0,466.373,322.018,23.9,288.281
1985,1131.497,0,173.761,5.652,0,242.085,484.457,470.461,235.477,506.134,55.557,73.051,186.289,499.92,0,172.805,0,222.684,35.87,0,27.388,1.032,0,453.887,320.53,37.214,294.524
1986,1143.083,0,175.817,7.291,0,237.083,535.881,442.119,244.39,504.899,77.277,81.069,210.468,507.861,0,193.49,0,230.349,41.213,0,31.42,1.706,0,435.832,313.615,52.806,297.531
1987,1155.858,0,177.664,9.127,0,230.349,583.641,419.412,250.101,501.851,101.393,91.424,231.579,516.154,0,211.94,0,237.781,46.701,0,35.55,2.492,0,419.086,306.187,68.514,300.925
1988,1161.234,1.948,178.174,11.104,0,222.039,619.485,399.258,249.824,494.553,124.299,103.51,247.638,521.611,0,226.905,1.752,243.842,52.085,0,39.589,3.321,0,404.304,298.903,82.141,303.062
1989,1170.337,4.032,178.92,13.31,0,214.497,646.399,381.827,246.266,485.715,144.879,117.496,259.605,526.93,11.269,238.975,2.323,249.593,57.426,0,43.695,4.179,0,390.469,291.476,92.98,305.447
1990,1175.639,6.283,178.79,15.674,0,208.115,665.345,362.906,239.959,474.341,160.945,130.787,266.47,529.861,22.25,247.487,2.912,254.619,62.725,0,47.654,5.043,0,376.332,283.28,101.575,307.406
1991,1185.216,8.706,179.024,18.303,0,202.798,683.843,345.342,234.563,464.387,173.303,142.499,269.67,535.253,34.609,253.723,3.488,263.569,68.195,0.934,51.732,5.909,0,369.154,279.453,109.585,310.658
1992,1190.865,11.219,178.428,21.089,0,196.998,699.802,329.012,231.542,455.272,181.841,152.978,269.319,540.777,45.712,258.238,4.018,275.146,73.606,1.844,55.753,6.787,0,361.27,274.283,117.33,313.394
1993,1200.687,13.853,178.226,24.173,0,190.741,716.55,314.716,231.476,448.619,188.279,164.235,269.052,548.144,49.653,261.755,4.484,289.949,79.317,2.74,59.987,7.686,0,354.774,270.71,125.303,317.088
1994,1206.247,16.482,177.191,27.401,0,184.299,729.09,299.833,232.135,440.548,191.313,174.892,267.323,553.317,56.276,262.399,4.827,305.545,85.312,3.6,64.282,8.586,0,347.387,268.187,132.594,318.942
