Time,Cold Appliances,Cooking,Lighting,Audiovisual,ICT,wet_appliances,Water heating,Heating,Other,Unknown,Showers
00:00, 63.6 , 6.6 , 39.4 , 43.8 , 17.5 , 26.7 , 7.7 , 48.7 , 14.3 , 67.2 , 2.1
01:00, 62.2 , 5.8 , 24.0 , 30.9 , 14.9 , 12.6 , 8.7 , 34.3 , 13.2 , 61.7 , 1.9
02:00, 61.6 , 5.2 , 18.6 , 25.2 , 13.8 , 8.2 , 14.6 , 26.0 , 12.8 , 57.3 , 1.2
03:00, 61.4 , 5.3 , 16.9 , 23.2 , 13.6 , 7.6 , 11.0 , 20.0 , 13.0 , 56.6 , 1.9
04:00, 60.9 , 6.6 , 16.2 , 22.0 , 13.5 , 5.2 , 20.2 , 18.9 , 12.6 , 59.5 , 1.3
05:00, 59.6 , 11.5 , 17.8 , 22.6 , 13.4 , 4.9 , 7.9 , 18.9 , 12.9 , 61.9 , 5.6
06:00, 59.3 , 28.6 , 23.8 , 27.2 , 14.0 , 11.9 , 11.7 , 14.9 , 13.9 , 76.5 , 16.9
07:00, 61.3 , 59.6 , 45.7 , 38.1 , 16.2 , 34.7 , 13.8 , 18.0 , 18.3 , 87.0 , 46.0
08:00, 62.6 , 65.2 , 48.9 , 48.7 , 19.7 , 65.0 , 9.9 , 20.4 , 21.4 , 99.8 , 36.3
09:00, 62.3 , 55.4 , 34.6 , 51.1 , 23.1 , 82.0 , 8.8 , 20.3 , 22.2 , 107.0 , 26.6
10:00, 62.6 , 53.2 , 29.3 , 51.3 , 25.1 , 85.0 , 7.1 , 19.5 , 23.1 , 104.5 , 15.4
11:00, 63.6 , 62.1 , 26.6 , 50.8 , 26.1 , 81.4 , 5.7 , 15.2 , 26.6 , 99.0 , 16.8
12:00, 65.4 , 75.9 , 26.6 , 57.4 , 26.9 , 76.2 , 6.4 , 15.0 , 26.5 , 102.3 , 15.5
13:00, 66.1 , 63.8 , 25.4 , 64.2 , 27.5 , 70.9 , 6.7 , 16.3 , 24.2 , 94.9 , 7.9
14:00, 66.2 , 48.7 , 26.5 , 66.0 , 28.5 , 66.9 , 6.9 , 17.6 , 23.7 , 92.2 , 5.3
15:00, 67.3 , 54.4 , 29.9 , 68.9 , 29.2 , 67.9 , 7.4 , 20.6 , 25.5 , 95.1 , 7.6
16:00, 67.8 , 92.1 , 50.6 , 79.2 , 31.2 , 63.5 , 9.4 , 23.9 , 26.6 , 104.6 , 9.1
17:00, 70.2 , 135.5 , 82.0 , 90.0 , 32.2 , 59.7 , 9.2 , 25.2 , 24.8 , 130.7 , 16.2
18:00, 70.8 , 129.3 , 108.8 , 102.6 , 32.2 , 62.0 , 9.5 , 25.3 , 24.6 , 131.8 , 17.1
19:00, 70.3 , 93.7 , 125.3 , 108.3 , 33.2 , 73.7 , 10.2 , 25.9 , 22.3 , 127.7 , 17.0
20:00, 68.7 , 63.7 , 127.9 , 114.7 , 32.8 , 69.0 , 11.3 , 25.8 , 19.7 , 127.7 , 15.2
21:00, 67.9 , 42.3 , 133.2 , 115.0 , 31.1 , 55.6 , 12.8 , 20.9 , 19.1 , 119.7 , 7.8
22:00, 66.7 , 27.9 , 121.1 , 100.0 , 27.9 , 44.1 , 7.2 , 27.7 , 17.5 , 103.6 , 6.0
23:00, 65.4 , 14.1 , 74.0 , 68.6 , 22.2 , 37.1 , 4.5 , 50.4 , 15.4 , 88.4 , 6.2
